Client,MessageType,Stock,Quantity,Side,OrderiD,LastQuantity,Execid,LastPrice
exec20220414170428,1276.37,MTHREE,8,AAPL,2900,1276.37,1,algo20220414170426,725
exec20220414170430,1276.37,MTHREE,8,AAPL,2900,1276.37,1,algo20220414170426,725
,,MS,D,MSFT,20163,59.89,2,algo20220414170430,
exec20220414170430,59.89,MTHREE,8,MSFT,20163,59.89,2,algo20220414170430,0
,,MS,F,MSFT,20163,,,C_algo20220414170430,
exec20220414170430,0,MTHREE,8,MSFT,20163,59.89,2,C_algo20220414170430,0
exec20220414170430,0,MTHREE,8,MSFT,20163,,2,C_algo20220414170430,0
,,MS,D,AMZN,30158,133.47,1,algo20220414170432,
exec20220414170432,133.47,MTHREE,8,AMZN,30158,133.47,1,algo20220414170432,0
exec20220414170432,133.47,MTHREE,8,AMZN,30158,133.47,1,algo20220414170432,10052
exec20220414170433,133.47,MTHREE,8,AMZN,30158,133.47,1,algo20220414170432,10052
exec20220414170435,133.47,MTHREE,8,AMZN,30158,133.47,1,algo20220414170432,10054
,,MS,D,FB,11019,430.62,2,algo20220414170435,
exec20220414170435,430.62,MTHREE,8,FB,11019,430.62,2,algo20220414170435,0
,,MS,F,FB,11019,,,C_algo20220414170435,
exec20220414170435,0,MTHREE,8,FB,11019,430.62,2,C_algo20220414170435,0
exec20220414170435,0,MTHREE,8,FB,11019,,2,C_algo20220414170435,0
,,MS,D,GOOG,21014,42.05,1,algo20220414170437,
exec20220414170437,42.05,MTHREE,8,GOOG,21014,42.05,1,algo20220414170437,0
exec20220414170437,42.05,MTHREE,8,GOOG,21014,42.05,1,algo20220414170437,5253
exec20220414170438,42.05,MTHREE,8,GOOG,21014,42.05,1,algo20220414170437,5253
,,MS,F,GOOG,21014,,,C_algo20220414170437,
exec20220414170439,0,MTHREE,8,GOOG,21014,42.05,1,C_algo20220414170437,0
exec20220414170439,0,MTHREE,8,GOOG,21014,,1,C_algo20220414170437,0
,,MS,D,GOOGL,24165,289.20,2,algo20220414170441,
exec20220414170441,289.20,MTHREE,8,GOOGL,24165,289.20,2,algo20220414170441,0
,,MS,F,GOOGL,24165,,,C_algo20220414170441,
exec20220414170441,0,MTHREE,8,GOOGL,24165,289.20,2,C_algo20220414170441,0
exec20220414170441,0,MTHREE,8,GOOGL,24165,,2,C_algo20220414170441,0
,,MS,D,INTC,1392,339.13,1,algo20220414170443,
exec20220414170443,339.13,MTHREE,,INTC,1392,339.13,1,algo20220414170443,0
exec20220414170443,339.13,MTHREE,8,INTC,1392,339.13,1,algo20220414170443,696
exec20220414170445,339.13,MTHREE,8,INTC,1392,339.13,1,algo20220414170443,696
,,MS,D,PEP,28225,36.21,2,algo20220414170445,
exec20220414170445,36.21,MTHREE,8,PEP,28225,36.21,2,algo20220414170445,0
,,MS,F,PEP,28225,,,C_algo20220414170445,
exec20220414170445,0,MTHREE,8,PEP,28225,36.21,2,C_algo20220414170445,0
exec20220414170445,0,MTHREE,8,PEP,28225,,2,C_algo20220414170445,0
,,MS,D,NFLX,5452,306.71,1,algo20220414170447,
exec20220414170447,306.71,MTHREE,8,NFLX,5452,306.71,1,algo20220414170447,0
exec20220414170448,306.71,MTHREE,8,NFLX,5452,306.71,1,algo20220414170447,5452
,,MS,D,CSCO,12721,233.73,1,algo20220414170448,
exec20220414170448,233.73,MTHREE,8,CSCO,12721,233.73,1,algo20220414170448,0
,,MS,F,CSCO,12721,,,C_algo20220414170448,
exec20220414170448,0,MTHREE,8,CSCO,12721,233.73,1,C_algo20220414170448,0
exec20220414170448,0,MTHREE,8,CSCO,12721,,1,C_algo20220414170448,0
,,MS,D,AMGN,22715,116.62,2,algo20220414170450,
exec20220414170450,116.62,MTHREE,8,AMGN,22715,116.62,2,algo20220414170450,0
,,MS,F,AMGN,22715,,,C_algo20220414170450,
exec20220414170450,0,MTHREE,8,AMGN,22715,116.62,2,C_algo20220414170450,0
exec20220414170450,0,MTHREE,8,AMGN,22715,,2,C_algo20220414170450,0
,,MS,D,PYPL,16781,723.61,1,algo20220414170453,
exec20220414170453,723.61,MTHREE,8,PYPL,16781,723.61,1,algo20220414170453,0
exec20220414170453,723.61,MTHREE,8,PYPL,16781,723.61,1,algo20220414170453,3356
,,MS,F,PYPL,16781,,,C_algo20220414170453,
exec20220414170454,0,MTHREE,8,PYPL,16781,723.61,1,C_algo20220414170453,0
exec20220414170454,0,MTHREE,8,PYPL,16781,,1,C_algo20220414170453,0
,,MS,D,TSLA,13571,503.77,2,algo20220414170456,
exec20220414170456,503.77,MTHREE,8,TSLA,13571,503.77,2,algo20220414170456,0
exec20220414170457,503.77,MTHREE,8,TSLA,13571,503.77,2,algo20220414170456,13571
,,MS,D,TXN,20840,112.46,1,algo20220414170457,
exec20220414170457,112.46,MTHREE,8,TXN,20840,112.46,1,algo20220414170457,0
exec20220414170457,112.46,MTHREE,8,TXN,20840,112.46,1,algo20220414170457,4168
exec20220414170458,112.46,MTHREE,8,TXN,20840,112.46,1,algo20220414170457,4168
exec20220414170459,112.46,MTHREE,8,TXN,20840,112.46,1,algo20220414170457,4168
,,MS,F,TXN,20840,,,C_algo20220414170457,
exec20220414170500,0,MTHREE,8,TXN,20840,112.46,1,C_algo20220414170457,0
exec20220414170500,0,MTHREE,8,TXN,20840,,1,C_algo20220414170457,0
,,MS,D,AVGO,23991,262.99,2,algo20220414170502,
exec20220414170502,262.99,MTHREE,8,AVGO,23991,262.99,2,algo20220414170502,0
exec20220414170503,262.99,MTHREE,8,AVGO,23991,262.99,2,algo20220414170502,23991
,,MS,D,GILD,31260,82.91,1,algo20220414170503,
exec20220414170503,82.91,MTHREE,8,GILD,31260,82.91,1,algo20220414170503,0
exec20220414170503,82.91,MTHREE,8,GILD,31260,82.91,1,algo20220414170503,6252
exec20220414170504,82.91,MTHREE,8,GILD,31260,82.91,1,algo20220414170503,6252
,,MS,F,GILD,31260,,,C_algo20220414170503,
exec20220414170505,0,MTHREE,8,GILD,31260,82.91,1,C_algo20220414170503,0
exec20220414170505,0,MTHREE,8,GILD,31260,,1,C_algo20220414170503,0
,,MS,D,SBUX,14847,75.71,2,algo20220414170507,
exec20220414170507,75.71,MTHREE,8,SBUX,14847,75.71,2,algo20220414170507,0
,,MS,F,SBUX,14847,,,C_algo20220414170507,
exec20220414170507,0,MTHREE,8,SBUX,14847,75.71,2,C_algo20220414170507,0
exec20220414170507,0,MTHREE,8,SBUX,14847,,2,C_algo20220414170507,0
,,MS,D,QCOM,24842,75.47,1,algo20220414170509,
exec20220414170509,75.47,MTHREE,8,QCOM,24842,75.47,1,algo20220414170509,0
exec20220414170509,,,,,24842,75.47,1,,12421
exec20220414170511,75.47,MTHREE,8,QCOM,24842,75.47,1,algo20220414170509,12421
,,MS,D,TMUS,18907,90.74,2,algo20220414170511,
exec20220414170511,90.74,MTHREE,8,TMUS,18907,90.74,2,algo20220414170511,0
,,MS,F,TMUS,18907,,,C_algo20220414170511,
exec20220414170511,0,MTHREE,8,TMUS,18907,90.74,2,C_algo20220414170511,0
exec20220414170511,0,MTHREE,8,TMUS,18907,,2,C_algo20220414170511,0
,,MS,D,MDLZ,28902,52.26,1,algo20220414170513,
exec20220414170513,52.26,MTHREE,8,MDLZ,28902,52.26,1,algo20220414170513,0
exec20220414170513,52.26,MTHREE,8,MDLZ,28902,52.26,1,algo20220414170513,14451
exec20220414170515,52.26,MTHREE,8,MDLZ,28902,52.26,1,algo20220414170513,14451
,,MS,D,BAC,22967,22.03,2,algo20220414170515,
exec20220414170515,22.03,MTHREE,8,BAC,22967,22.03,2,algo20220414170515,0
,,MS,F,BAC,22967,,,C_algo20220414170515,
exec20220414170515,0,MTHREE,8,BAC,22967,22.03,2,C_algo20220414170515,0
exec20220414170515,0,MTHREE,8,BAC,22967,,2,C_algo20220414170515,0
,,MS,D,DDD,194,8.01,2,algo20220414170517,
exec20220414170517,8.01,MTHREE,8,DDD,194,8.01,2,algo20220414170517,0
exec20220414170517,8.01,MTHREE,8,DDD,194,8.01,2,algo20220414170517,64
exec20220414170518,8.01,MTHREE,8,DDD,194,8.01,2,algo20220414170517,64
exec20220414170520,8.01,MTHREE,8,DDD,194,8.01,2,algo20220414170517,66
,,MS,D,MMM,13823,146.98,2,algo20220414170520,
exec20220414170520,146.98,MTHREE,8,MMM,13823,146.98,2,algo20220414170520,0
,,MS,F,MMM,13823,,,C_algo20220414170520,
exec20220414170520,0,MTHREE,8,MMM,13823,146.98,2,C_algo20220414170520,0
exec20220414170520,0,MTHREE,8,MMM,13823,,2,C_algo20220414170520,0
,,MS,D,WBAI,7888,4.10,1,algo20220414170522,
exec20220414170523,4.10,MTHREE,8,WBAI,7888,4.10,1,algo20220414170522,0
exec20220414170524,4.10,MTHREE,8,WBAI,7888,4.10,1,algo20220414170522,7888
,,MS,D,WUBA,31995,51.41,2,algo20220414170524,
exec20220414170524,51.41,MTHREE,8,WUBA,31995,51.41,2,algo20220414170524,0
,,MS,F,WUBA,31995,,,C_algo20220414170524,
exec20220414170524,0,MTHREE,8,WUBA,31995,51.41,2,C_algo20220414170524,0
exec20220414170524,0,MTHREE,8,WUBA,31995,,2,C_algo20220414170524,0
,,MS,D,EGHT,9222,17.03,1,algo20220414170526,
exec20220414170526,17.03,MTHREE,8,EGHT,9222,17.03,1,algo20220414170526,0
exec20220414170526,17.03,MTHREE,8,EGHT,9222,17.03,1,algo20220414170526,4611
