8=FIX4.4; 35=A; 34=1; 49=MTHREE; 56=MS; 52=2022-04-18-19:13:44; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=9; 49=MS; 56=MTHREE; 52=2022-04-18-19:13:58; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=10; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:00; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=10; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:00; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=11; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:02; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=11; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:02; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=12; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:04; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=12; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:04; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=13; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:06; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=13; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:06; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=14; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:08; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=14; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:08; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=15; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:10; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=15; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:10; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=16; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:12; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=16; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:12; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=17; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:14; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=17; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:14; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=18; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:16; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=18; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:16; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=19; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:18; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=19; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:18; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=20; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:20; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=20; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:20; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=21; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:22; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=21; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:22; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=22; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:24; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=22; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:24; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=23; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:26; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=23; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:26; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=24; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:28; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=24; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:28; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=25; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:30; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=25; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:30; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=26; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:32; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=26; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:32; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=27; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:34; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=27; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:34; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=28; 49=MTHREE; 56=MS; 52=2022-04-18-19:14:36; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=28; 49=MS; 56=MTHREE; 52=2022-04-18-19:14:36; 108=30; 10=0015;
